timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670677337976,333,SimpleBlg_01_GET,200,OK,Thread Group 1-3,text,true,,190,117,6,6,http://localhost:3000/,333,0,1
1670677337883,457,SimpleBlg_01_GET,200,OK,Thread Group 1-2,text,true,,190,117,6,6,http://localhost:3000/,457,0,24
1670677338191,151,SimpleBlg_01_GET,200,OK,Thread Group 1-5,text,true,,190,117,6,6,http://localhost:3000/,151,0,1
1670677337883,457,SimpleBlg_01_GET,200,OK,Thread Group 1-1,text,true,,190,117,6,6,http://localhost:3000/,457,0,24
1670677338277,65,SimpleBlg_01_GET,200,OK,Thread Group 1-6,text,true,,190,117,6,6,http://localhost:3000/,65,0,2
1670677338076,264,SimpleBlg_01_GET,200,OK,Thread Group 1-4,text,true,,190,117,6,6,http://localhost:3000/,264,0,2
1670677338392,14,SimpleBlg_02_health_check,200,OK,Thread Group 1-5,text,true,,165,129,7,7,http://localhost:3000/health_check,14,0,0
1670677338392,20,SimpleBlg_02_health_check,200,OK,Thread Group 1-6,text,true,,165,129,7,7,http://localhost:3000/health_check,20,0,0
1670677338394,15,SimpleBlg_02_health_check,200,OK,Thread Group 1-1,text,true,,165,129,7,7,http://localhost:3000/health_check,15,0,0
1670677338392,24,SimpleBlg_02_health_check,200,OK,Thread Group 1-2,text,true,,165,129,7,7,http://localhost:3000/health_check,24,0,0
1670677338394,33,SimpleBlg_02_health_check,200,OK,Thread Group 1-3,text,true,,165,129,7,7,http://localhost:3000/health_check,33,0,0
1670677338393,34,SimpleBlg_02_health_check,200,OK,Thread Group 1-4,text,true,,165,129,7,7,http://localhost:3000/health_check,34,0,0
1670677338394,72,SimpleBlg_01_GET,200,OK,Thread Group 1-7,text,true,,190,117,7,7,http://localhost:3000/,72,0,1
1670677338467,48,SimpleBlg_02_health_check,200,OK,Thread Group 1-7,text,true,,165,129,8,8,http://localhost:3000/health_check,48,0,0
1670677338407,819,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-5,text,true,,191,123,15,15,http://localhost:3000/posts/,819,0,0
1670677338428,800,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-3,text,true,,191,123,15,15,http://localhost:3000/posts/,800,0,0
1670677338417,813,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-2,text,true,,191,123,15,15,http://localhost:3000/posts/,813,0,0
1670677338415,819,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-6,text,true,,191,123,15,15,http://localhost:3000/posts/,819,0,0
1670677338501,733,SimpleBlg_01_GET,200,OK,Thread Group 1-8,text,true,,190,117,15,15,http://localhost:3000/,733,0,2
1670677338590,645,SimpleBlg_01_GET,200,OK,Thread Group 1-9,text,true,,190,117,15,15,http://localhost:3000/,645,0,3
1670677338669,570,SimpleBlg_01_GET,200,OK,Thread Group 1-10,text,true,,190,117,15,15,http://localhost:3000/,570,0,1
1670677338781,461,SimpleBlg_01_GET,200,OK,Thread Group 1-11,text,true,,190,117,15,15,http://localhost:3000/,461,0,2
1670677338887,358,SimpleBlg_01_GET,200,OK,Thread Group 1-12,text,true,,190,117,15,15,http://localhost:3000/,358,0,2
1670677338981,267,SimpleBlg_01_GET,200,OK,Thread Group 1-13,text,true,,190,117,15,15,http://localhost:3000/,267,0,2
1670677339176,74,SimpleBlg_01_GET,200,OK,Thread Group 1-15,text,true,,190,117,15,15,http://localhost:3000/,74,0,1
1670677339077,175,SimpleBlg_01_GET,200,OK,Thread Group 1-14,text,true,,190,117,15,15,http://localhost:3000/,175,0,1
1670677338428,825,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-4,text,true,,191,123,15,15,http://localhost:3000/posts/,825,0,0
1670677338415,838,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-1,text,true,,191,123,15,15,http://localhost:3000/posts/,838,0,0
1670677339234,22,SimpleBlg_02_health_check,200,OK,Thread Group 1-8,text,true,,165,129,15,15,http://localhost:3000/health_check,22,0,0
1670677339235,27,SimpleBlg_02_health_check,200,OK,Thread Group 1-9,text,true,,165,129,15,15,http://localhost:3000/health_check,27,0,0
1670677339239,24,SimpleBlg_02_health_check,200,OK,Thread Group 1-10,text,true,,165,129,15,15,http://localhost:3000/health_check,24,0,0
1670677339242,23,SimpleBlg_02_health_check,200,OK,Thread Group 1-11,text,true,,165,129,15,15,http://localhost:3000/health_check,23,0,0
1670677339245,61,SimpleBlg_02_health_check,200,OK,Thread Group 1-12,text,true,,165,129,16,16,http://localhost:3000/health_check,61,0,0
1670677339248,60,SimpleBlg_02_health_check,200,OK,Thread Group 1-13,text,true,,165,129,16,16,http://localhost:3000/health_check,60,0,0
1670677339250,58,SimpleBlg_02_health_check,200,OK,Thread Group 1-15,text,true,,165,129,16,16,http://localhost:3000/health_check,58,0,0
1670677339252,58,SimpleBlg_02_health_check,200,OK,Thread Group 1-14,text,true,,165,129,16,16,http://localhost:3000/health_check,58,0,0
1670677339257,68,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-8,text,true,,191,123,16,16,http://localhost:3000/posts/,68,0,0
1670677339263,65,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-9,text,true,,191,123,16,16,http://localhost:3000/posts/,65,0,0
1670677339229,176,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-3,text,false,Test failed: code expected to contain /200/,985,231,17,17,http://localhost:3000/posts/,176,0,0
1670677339226,184,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-5,text,false,Test failed: code expected to contain /200/,985,231,17,17,http://localhost:3000/posts/,184,0,0
1670677339230,186,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,985,231,17,17,http://localhost:3000/posts/,186,0,0
1670677339307,112,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-12,text,true,,191,123,17,17,http://localhost:3000/posts/,112,0,0
1670677339284,139,SimpleBlg_01_GET,200,OK,Thread Group 1-16,text,true,,190,117,17,17,http://localhost:3000/,139,0,1
1670677339309,116,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-15,text,true,,191,123,17,17,http://localhost:3000/posts/,116,0,0
1670677339309,117,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-13,text,true,,191,123,17,17,http://localhost:3000/posts/,117,0,0
1670677339310,117,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-14,text,true,,191,123,17,17,http://localhost:3000/posts/,117,0,0
1670677339234,199,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-6,text,false,Test failed: code expected to contain /200/,985,231,17,17,http://localhost:3000/posts/,199,0,0
1670677339413,99,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-5,text,false,Test failed: code expected to contain /200/,823,211,18,18,http://localhost:3000/posts/:NF,99,0,0
1670677339409,108,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-3,text,false,Test failed: code expected to contain /200/,823,211,18,18,http://localhost:3000/posts/:NF,108,0,0
1670677339253,269,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-1,text,false,Test failed: code expected to contain /200/,983,231,18,18,http://localhost:3000/posts/,269,0,0
1670677339424,102,SimpleBlg_02_health_check,200,OK,Thread Group 1-16,text,true,,165,129,18,18,http://localhost:3000/health_check,102,0,0
1670677339417,121,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,823,211,18,18,http://localhost:3000/posts/:NF,120,0,0
1670677339376,162,SimpleBlg_01_GET,200,OK,Thread Group 1-17,text,true,,190,117,18,18,http://localhost:3000/,162,0,2
1670677339472,67,SimpleBlg_01_GET,200,OK,Thread Group 1-18,text,true,,190,117,18,18,http://localhost:3000/,67,0,1
1670677338515,1032,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-7,text,true,,191,123,18,18,http://localhost:3000/posts/,1032,0,0
1670677339329,340,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-9,text,false,Test failed: code expected to contain /200/,985,231,19,19,http://localhost:3000/posts/,340,0,0
1670677339326,347,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-8,text,false,Test failed: code expected to contain /200/,985,231,19,19,http://localhost:3000/posts/,347,0,0
